score,min_cluster_size,min_samples
0.351,1044,720
0.351,936,670
0.351,1020,679
0.351,801,668
0.351,813,894
0.351,804,883
0.351,1030,704
0.351,849,806
0.351,819,894
0.351,868,788
0.351,942,876
0.351,1087,704
0.351,1015,899
0.351,1054,704
0.351,1004,745
0.351,802,675
0.351,908,806
0.351,871,894
0.351,970,745
0.351,824,883
0.351,812,894
0.351,824,894
0.351,1064,704
0.351,800,668
0.351,916,771
0.351,802,678
0.351,913,894
0.351,887,883
0.351,1074,704
0.351,886,881
0.351,913,670
0.351,924,876
0.351,896,788
0.351,919,881
0.351,1055,704
0.351,1062,687
0.351,924,771
0.351,923,806
0.351,848,788
0.351,956,745
0.35,968,777
0.35,844,720
0.35,955,767
0.35,1001,659
0.35,921,885
0.35,970,777
0.35,900,720
0.35,941,890
0.35,1009,767
0.35,1003,777
0.35,858,885
0.35,929,720
0.35,931,890
0.35,1014,888
0.349,940,687
0.349,881,732
0.349,833,732
0.349,874,687
0.349,845,687
0.349,1086,685
0.349,802,687
0.349,903,704
0.349,864,704
0.349,1066,685
0.349,834,704
0.349,1028,690
0.349,939,687
0.349,1097,761
0.349,805,687
0.348,1042,893
0.348,1058,893
0.348,1070,893
0.348,973,691
0.348,1077,735
0.347,1001,787
0.347,999,775
0.347,1097,603
0.347,996,774
0.347,998,785
0.347,933,761
0.347,912,690
0.347,1035,676
0.347,1047,603
0.347,1006,785
0.347,1048,676
0.347,851,685
0.347,983,774
0.347,983,775
0.347,965,769
0.347,993,775
0.347,1087,676
0.347,939,690
0.347,1087,603
0.347,876,761
0.347,1046,603
0.347,989,664
0.346,1006,876
0.346,1034,679
0.346,1050,895
0.346,1063,895
0.346,1090,679
0.346,910,735
0.346,837,893
0.346,1029,674
0.346,1000,670
0.346,1008,876
0.346,1007,771
0.346,1051,674
0.346,940,735
0.346,911,893
0.346,970,881
0.346,996,883
0.346,970,876
0.346,971,881
0.346,1012,670
0.346,1081,679
0.346,950,881
0.346,958,894
0.346,814,735
0.346,916,893
0.346,972,876
0.346,1052,899
0.346,1044,674
0.346,960,788
0.345,956,603
0.345,960,890
0.345,938,603
0.345,1082,791
0.345,841,877
0.345,967,885
0.345,969,885
0.345,955,885
0.345,1028,888
0.345,922,877
0.345,1038,888
0.345,998,885
0.345,901,603
0.345,947,676
0.345,848,676
0.344,1015,781
0.344,938,679
0.344,892,899
0.344,844,899
0.344,873,674
0.344,844,895
0.344,879,674
0.344,973,720
0.344,867,895
0.344,958,732
0.344,816,895
0.344,809,674
0.344,829,674
0.344,843,895
0.344,918,679
0.344,927,899
0.344,822,895
0.344,810,895
0.344,890,674
0.344,835,679
0.344,824,674
0.344,878,679
0.344,933,899
0.343,904,897
0.343,945,888
0.343,1006,687
0.343,933,888
0.343,936,888
0.343,943,888
0.343,808,684
0.343,1010,687
0.343,810,689
0.343,832,791
0.343,804,897
0.343,904,888
0.342,998,690
0.342,991,761
0.342,968,685
0.342,1016,685
0.341,996,893
0.341,1018,681
0.341,860,672
0.341,1007,893
0.341,980,735
0.341,894,672
0.341,962,893
0.34,1043,762
0.34,1020,671
0.34,969,676
0.34,1054,762
0.34,1011,887
0.34,1099,762
0.34,1009,676
0.34,968,603
0.34,999,676
0.34,1075,762
0.34,1010,603
0.34,1017,603
0.339,1083,781
0.339,1017,677
0.339,1011,674
0.339,963,674
0.339,956,895
0.339,1052,781
0.339,1007,674
0.339,1011,679
0.338,823,789
0.338,987,791
0.338,838,762
0.338,1002,897
0.338,949,789
0.338,941,789
0.338,896,789
0.338,995,897
0.338,813,789
0.338,812,762
0.338,954,888
0.338,990,791
0.337,1048,882
0.337,856,781
0.337,861,781
0.337,845,781
0.336,988,672
0.336,1000,672
0.336,1046,681
0.336,1010,672
0.335,1038,671
0.335,1031,887
0.335,893,882
0.335,1088,887
0.335,1092,887
0.335,1050,671
0.335,800,882
0.335,1075,887
0.335,857,882
0.335,1045,887
0.334,1080,896
0.334,917,681
0.334,855,681
0.334,830,681
0.334,1044,896
0.334,842,681
0.334,829,681
0.334,1034,896
0.334,904,681
0.334,847,681
0.334,899,681
0.334,1095,889
0.333,947,671
0.333,800,671
0.333,841,671
0.333,899,896
0.333,873,680
0.333,878,896
0.333,933,889
0.333,813,896
0.333,1018,879
0.333,819,887
0.333,929,671
0.333,819,889
0.333,850,887
0.333,870,677
0.333,934,680
0.333,934,889
0.333,892,889
0.332,1009,781
0.332,1005,781
0.332,982,781
0.331,810,691
0.331,802,691
0.33,976,882
0.33,994,882
0.329,1073,879
0.329,1054,879
0.329,1067,884
0.329,959,681
0.329,1062,879
0.328,993,677
0.328,968,896
0.328,971,896
0.328,987,677
0.328,951,896
0.327,863,879
0.327,1084,692
0.327,810,884
0.327,944,879
0.327,843,884
0.327,939,884
0.327,1072,692
0.327,804,879
0.327,883,879
0.327,826,879
0.326,1027,604
0.326,803,692
0.326,844,686
0.326,920,686
0.326,808,692
0.325,907,692
0.325,883,692
0.322,1045,673
0.322,1069,600
0.322,1049,673
0.322,1071,600
0.322,1046,600
0.32,819,673
0.32,878,600
0.32,926,600
0.32,858,673
0.32,820,673
0.32,849,673
0.32,852,600
0.32,958,673
0.319,897,604
0.319,949,604
0.315,1008,673
